ids,englishs,czechs,pronunciations
"250,1264","cry,cry","plakat,výkřik","kɹˈaɪ,kɹˈaɪ"
"252,1171","cream,cream","smetana,krém","kɹˈiːm,kɹˈiːm"
"254,1150","cover,cover","pokrýt,poklop","kˈʌvɚ,kˈʌvɚ"
"258,6664","correct,correct","opravit,správný","kɚɹˈɛkt,kɚɹˈɛkt"
"261,1445","copy,copy","kopie,kopírovat","kˈɑːpi,kˈɑːpi"
"263,6390","cool,cool","ochladit,chladný","kˈuːl,kˈuːl"
"265,266","cook,cook","kuchař,vařit","kˈʊk,kˈʊk"
"271,1786,6040","down,down,down","dolů,na zemi,dole","dˈaʊn,dˈaʊn,dˈaʊn"
"283,3830","date,date","datum,randit","dˈeɪt,dˈeɪt"
"291,4836","design,design","design,navrhovat","dɪzˈaɪn,dɪzˈaɪn"
"297,4746","dig,dig","kopat,vykopávka","dˈɪɡ,dˈɪɡ"
"308,1361","check,check","kontrola,šek","tʃˈɛk,tʃˈɛk"
"310,311","change,change","drobné (mince),přeměna","tʃˈeɪndʒ,tʃˈeɪndʒ"
"313,3809","circle,circle","kruh,kroužit","sˈɜːkəl,sˈɜːkəl"
"317,318","catch,catch","chytit,úlovek","kˈætʃ,kˈætʃ"
"325,4135","care,care","péče,pečovat","kˈɛɹ,kˈɛɹ"
"336,337","cold,cold","nachlazení,studený","kˈoʊld,kˈoʊld"
"342,6490","coach,coach","trenér,trénovat","kˈoʊtʃ,kˈoʊtʃ"
"349,350","close,close","zavřít,blízko","klˈoʊs,klˈoʊs"
"354,355","clean,clean","čistit,čistý","klˈiːn,klˈiːn"
"358,1813","draw,draw","kreslit,remíza","dɹˈɔː,dɹˈɔː"
"359,1795","dream,dream","sen,snít","dɹˈiːm,dɹˈiːm"
"360,1794","dress,dress","šaty,oblékat","dɹˈɛs,dɹˈɛs"
"362,6322","focus,focus","soustředit,ohnisko","fˈoʊkəs,fˈoʊkəs"
"363,364","fly,fly","létat,moucha","flˈaɪ,flˈaɪ"
"367,6306","flat,flat","byt,plochý","flˈæt,flˈæt"
"371,4559","fish,fish","ryba,rybařit","fˈɪʃ,fˈɪʃ"
"372,374","first,first","nejprve,první","fˈɜːst,fˈɜːst"
"375,376","finish,finish","dokončit,povrch","fˈɪnɪʃ,fˈɪnɪʃ"
"377,4583,6233","fine,fine,fine","dobře,jemný,pokuta","fˈaɪn,fˈaɪn,fˈaɪn"
"380,6229","file,file","soubor,založit","fˈaɪl,fˈaɪl"
"381,4704","fight,fight","boj,bojovat","fˈaɪt,fˈaɪt"
"387,6236","fire,fire","oheň,vyhodit zaměstnance","fˈaɪɚ,fˈaɪɚ"
"390,1692","for,for","pro,za","fˈɔːɹ,fˈɔːɹ"
"399,2771","future,future","budoucí,budoucnost","fjˈuːtʃɚ,fjˈuːtʃɚ"
"409,1675,6195","free,free,free","svobodný,uvolnit,zdarma","fɹˈiː,fɹˈiː,fɹˈiː"
"413,4605","form,form","formulář,tvarovat","fˈɔːɹm,fˈɔːɹm"
"417,1666","front,front","přední,fronta","fɹˈʌnt,fɹˈʌnt"
"418,1708","feel,feel","pocit,cítit","fˈiːl,fˈiːl"
"423,1883","end,end","konec,ukončit","ˈɛnd,ˈɛnd"
"427,1976","either,either","kterýkoliv,buď","ˈiːðɚ,ˈiːðɚ"
"442,1787","drop,drop","pokles,kapka","dɹˈɑːp,dɹˈɑːp"
"444,1789,7873,7875","drive,drive,drive,drive","řídit,jet,řídit,jízda","dɹˈaɪv,dɹˈaɪv,dɹˈaɪv,dɹˈaɪv"
"445,446","drink,drink","pít,nápoj","dɹˈɪŋk,dɹˈɪŋk"
"447,1950","early,early","raný,brzy","ˈɜːli,ˈɜːli"
"454,455","fast,fast","půst,rychle","fˈæst,fˈæst"
"463,4665","fair,fair","veletrh,spravedlivý","fˈɛɹ,fˈɛɹ"
"465,1546","face,face","tvář,čelit","fˈeɪs,fˈeɪs"
"468,1621","exercise,exercise","cvičit,cvičení","ˈɛksɚsˌaɪz,ˈɛksɚsˌaɪz"
"469,4442","excuse,excuse","omluva,omluvit","ɛkskjˈuːs,ɛkskjˈuːs"
"479,3545","near,near","u,blízko","nˈɪɹ,nˈɪɹ"
"481,2155,6785","need,need,need","potřeba,nutnost,potřebovat","nˈiːd,nˈiːd,nˈiːd"
"487,488","that,that","že,aby","ðˈæt,ðˈæt"
"492,5816","test,test","test,zkoušet","tˈɛst,tˈɛst"
"507,3756","talk,talk","mluvit,hovor","tˈɔːk,tˈɔːk"
"520,521","to,to","k,na","tˈuː,tˈuː"
"528,2125","throw,throw","hod,hodit","θɹˈoʊ,θɹˈoʊ"
"543,1197","still,still","stále,nehybný","stˈɪl,stˈɪl"
"544,1223","step,step","krok,vykročit","stˈɛp,stˈɛp"
"545,3890","stay,stay","zůstat,pobyt","stˈeɪ,stˈeɪ"
"547,548","start,start","začít,start","stˈɑːɹt,stˈɑːɹt"
"549,4833","star,star","hvězda,zazářit","stˈɑːɹ,stˈɑːɹ"
"550,1257","stand,stand","stát,stánek","stˈænd,stˈænd"
"554,570","stop,stop","zastávka,zastavit","stˈɑːp,stˈɑːp"
"557,1781","spell,spell","kouzlo,kouzlit","spˈɛl,spˈɛl"
"573,1311","sweet,sweet","sladký,milý","swˈiːt,swˈiːt"
"575,3674","surprise,surprise","překvapení,překvapit","sɚpɹˈaɪz,sɚpɹˈaɪz"
"576,1321","surf,surf","serf,surfovat","sˈɜːf,sˈɜːf"
"584,5005","store,store","obchod,skladovat","stˈɔːɹ,stˈɔːɹ"
"597,1254","straight,straight","rovný,přímý","stɹˈeɪt,stɹˈeɪt"
"599,4347","top,top","dovršit,nahoře","tˈɑːp,tˈɑːp"
"601,4340","touch,touch","dotek,dotýkat","tˈʌtʃ,tˈʌtʃ"
"602,5139","win,win","výhra,vyhrát","wˈɪn,wˈɪn"
"603,5145","will,will","bude,vůle","wˈɪl,wˈɪl"
"606,607","whose,whose","čí,jehož","hˈuːz,hˈuːz"
"609,610","white,white","bílit,bílý","wˈaɪt,wˈaɪt"
"611,612","which,which","jaký,který","wˈɪtʃ,wˈɪtʃ"
"613,615","where,where","kam,kde","wˈɛɹ,wˈɛɹ"
"614,5118","wind,wind","vítr,natáhnout","wˈɪnd,wˈɪnd"
"616,628","when,when","když,kdy","wˈɛn,wˈɛn"
"618,619","what,what","jaký,co","wˈʌt,wˈʌt"
"621,622","well,well","studna,dobře","wˈɛl,wˈɛl"
"623,4159","welcome,welcome","vítejte,vítat","wˈɛlkʌm,wˈɛlkʌm"
"648,2323","worry,worry","starost,strachovat se","wˈʌɹi,wˈʌɹi"
"651,652","work,work","pracovat,práce","wˈɜːk,wˈɜːk"
"657,2292","wrong,wrong","špatně,křivdit","ɹˈɔŋ,ɹˈɔŋ"
"660,5327","water,water","voda,zalévat","wˈɔːɾɚ,wˈɔːɾɚ"
"664,4296","type,type","typ,psát na stroji","tˈaɪp,tˈaɪp"
"669,670","turn,turn","zatočit,obrat","tˈɜːn,tˈɜːn"
"679,5741","trip,trip","výlet,klopýtnout","tɹˈɪp,tɹˈɪp"
"681,2156","travel,travel","cestovat,cestování","tɹˈævəl,tɹˈævəl"
"682,2254","train,train","vlak,trénovat","tɹˈeɪn,tɹˈeɪn"
"691,692","watch,watch","hodinky,sledovat","wˈɑːtʃ,wˈɑːtʃ"
"693,694","wash,wash","umýt,praní","wˈɑːʃ,wˈɑːʃ"
"696,4048","warm,warm","teplo,teplý","wˈɔːɹm,wˈɔːɹm"
"698,5226","want,want","chtít,potřeba","wˈɔnt,wˈɔnt"
"700,701","walk,walk","chodit,chůze","wˈɔːk,wˈɔːk"
"702,4053","wake,wake","probudit,brázda","wˈeɪk,wˈeɪk"
"706,4014","vote,vote","hlasování,volební hlas","vˈoʊt,vˈoʊt"
"708,709","visit,visit","návštívit,návštěva","vˈɪzɪt,vˈɪzɪt"
"716,2313","use,use","použít,použití","jˈuːs,jˈuːs"
"723,7031","picture,picture","obrázek,vylíčit","pˈɪktʃɚ,pˈɪktʃɚ"
"725,2697","pick,pick","vybrat,výběr","pˈɪk,pˈɪk"
"728,729","phone,phone","telefonovat,telefon","fˈoʊn,fˈoʊn"
"738,739","pay,pay","platit,platba","pˈeɪ,pˈeɪ"
"740,2868","past,past","minulost,přes","pˈæst,pˈæst"
"743,2183","park,park","park,zaparkovat","pˈɑːɹk,pˈɑːɹk"
"745,2502","pardon,pardon","pardon,promiňte","pˈɑːɹdən,pˈɑːɹdən"
"751,2658","place,place","místo,umístit","plˈeɪs,plˈeɪs"
"755,5254","price,price","cena,ocenit","pɹˈaɪs,pɹˈaɪs"
"757,2878,5355","present,present,present","současnost,dárek,předvést","pɹˈɛzənt,pɹˈɛzənt,pɹˈɛzənt"
"763,2288","post,post","zveřejnit,pošta","pˈoʊst,pˈoʊst"
"768,2290","point,point","bod,ukázat","pˈɔɪnt,pˈɔɪnt"
"772,2774","please,please","prosím,potěšit","plˈiːz,plˈiːz"
"774,775","play,play","hrát,hra","plˈeɪ,plˈeɪ"
"777,2677","plan,plan","plán,plánovat","plˈæn,plˈæn"
"787,6824","now,now","teď,hned","nˈaʊ,nˈaʊ"
"791,792","note,note","poznamenat,poznámka","nˈoʊt,nˈoʊt"
"796,797","no,no","ne,žádný","nˈoʊ,nˈoʊ"
"812,813","paint,paint","malovat,nátěr","pˈeɪnt,pˈeɪnt"
"817,2019","own,own","vlastní,vlastnit","ˈoʊn,ˈoʊn"
"819,7054","outside,outside","vnější,mimo","aʊtsˈaɪd,aʊtsˈaɪd"
"824,2364","order,order","objednávka,objednat","ˈɔːɹdɚ,ˈɔːɹdɚ"
"828,829","open,open","otevřít,otevřeno","ˈoʊpən,ˈoʊpən"
"832,833","one,one","jeden,jedna","wˈʌn,wˈʌn"
"834,6808","once,once","jednou,kdysi","wˈʌns,wˈʌns"
"835,2314","on,on","při,na","ˈɔn,ˈɔn"
"839,2521","programme,programme","program,naprogramovat","pɹˈoʊɡɹæm,pɹˈoʊɡɹæm"
"845,5228","shower,shower","sprcha,sprchovat","ʃˈaʊɚ,ʃˈaʊɚ"
"846,1739","show,show","šou,ukázat","ʃˈoʊ,ʃˈoʊ"
"849,850","short,short","krátit,krátký","ʃˈɔːɹt,ʃˈɔːɹt"
"852,4570","shop,shop","obchod,nakupovat","ʃˈɑːp,ʃˈɑːp"
"856,4634","ship,ship","loď,dopravovat lodí","ʃˈɪp,ʃˈɪp"
"859,1669","share,share","sdílet,podíl","ʃˈɛɹ,ʃˈɛɹ"
"864,1744","set,set","sestavit,soubor","sˈɛt,sˈɛt"
"866,4916","sentence,sentence","věta,odsoudit","sˈɛntəns,sˈɛntəns"
"876,1919","snow,snow","sníh,sněžení","snˈoʊ,snˈoʊ"
"879,1909","smoke,smoke","kouř,kouřit","smˈoʊk,smˈoʊk"
"881,4450","smile,smile","úsměv,úsmívat se","smˈaɪl,smˈaɪl"
"882,4452","smell,smell","vůně,vonět","smˈɛl,smˈɛl"
"885,4695","sign,sign","znamení,podepsat","sˈaɪn,sˈaɪn"
"899,4434","sleep,sleep","spát,spánek","slˈiːp,slˈiːp"
"904,5334","review,review","recenze,recenzovat","ɹᵻvjˈuː,ɹᵻvjˈuː"
"905,3478","result,result","výsledek,vyplývat","ɹɪzˈʌlt,ɹɪzˈʌlt"
"913,914","real,real","skutečný,nemovitý","ɹˈiːəl,ɹˈiːəl"
"921,922","rain,rain","pršet,déšť","ɹˈeɪn,ɹˈeɪn"
"925,5648","quiet,quiet","klid,tichý","kwˈaɪət,kwˈaɪət"
"927,5660","question,question","otázka,dotazovat se","kwˈɛstʃən,kwˈɛstʃən"
"931,932","ride,ride","jízda,jezdit","ɹˈaɪd,ɹˈaɪd"
"938,5607","saw,saw","pila,pilovat","sˈɔː,sˈɔː"
"947,948","run,run","běžet,běh","ɹˈʌn,ɹˈʌn"
"950,5437","rule,rule","pravidlo,vládnout","ɹˈuːl,ɹˈuːl"
"952,5889","row,row","řádek,veslovat","ɹˈoʊ,ɹˈoʊ"
"957,1255","ring,ring","prsten,kroužek","ɹˈɪŋ,ɹˈɪŋ"
"958,959,1248","right,right,right","správný,právo,narovnat","ɹˈaɪt,ɹˈaɪt,ɹˈaɪt"
"967,969,8442","behind,behind,behind","stát za něčím,za,za","bᵻhˈaɪnd,bᵻhˈaɪnd,bᵻhˈaɪnd"
"976,2952","block,block","blok,zablokovat","blˈɑːk,blˈɑːk"
"983,3017","bat,bat","netopýr,pálka","bˈæt,bˈæt"
"984,1953","better,better","lepší,zlepšit se","bˈɛɾɚ,bˈɛɾɚ"
"988,1251","before,before","před,dříve než","bᵻfˈɔːɹ,bᵻfˈɔːɹ"
"993,2721","board,board","rada,nalodit se","bˈɔːɹd,bˈɔːɹd"
"996,1001","blue,blue","smutný,modrý","blˈuː,blˈuː"
"997,6267","bottle,bottle","láhev,lahvovat","bˈɑːɾəl,bˈɑːɾəl"
"1011,4690","bowl,bowl","miska,hrát bowling","bˈoʊl,bˈoʊl"
"1013,1014","best,best","nejlepší,nejlepší způsob","bˈɛst,bˈɛst"
"1018,1117","brush,brush","štětec,kartáčovat","bɹˈʌʃ,bɹˈʌʃ"
"1030,1152","bear,bear","medvěd,nést","bˈɛɹ,bˈɛɹ"
"1032,1033,2033,3105","back,back,back,back","zadní,podpořit,zpět,minulý","bˈæk,bˈæk,bˈæk,bˈæk"
"1036,1591","break,break","zlomit,přerušení","bɹˈeɪk,bɹˈeɪk"
"1037,1040","any,any","nějaký,kterýkoliv","ˈɛni,ˈɛni"
"1042,1043","black,black","černý,očernit","blˈæk,blˈæk"
"1045,2085,4199","after,after,after","poté co,po,za","ˈæftɚ,ˈæftɚ,ˈæftɚ"
"1047,1280","along,along","podél,s sebou","ɐlˈɔŋ,ɐlˈɔŋ"
"1051,1137","alone,alone","jediný,sám","ɐlˈoʊn,ɐlˈoʊn"
"1054,1505","all,all","vše,celý","ˈɔːl,ˈɔːl"
"1064,2173","around,around","přibližně,kolem","ɚɹˈaʊnd,ɚɹˈaʊnd"
"1073,1835","brown,brown","hnědý,hnědnout","bɹˈaʊn,bɹˈaʊn"
"1075,4293","address,address","adresa,oslovit","ɐdɹˈɛs,ɐdɹˈɛs"
"1076,2454","as,as","jakmile,jako","ˈæz,ˈæz"
"1078,3203","bar,bar","tyč,bar","bˈɑːɹ,bˈɑːɹ"
"1081,1100","below,below","pod,níže","bᵻlˈoʊ,bᵻlˈoʊ"
"1083,2372","can,can","může,plechovka","kˈæn,kˈæn"
"1093,3346","arm,arm","paže,ozbrojit","ˈɑːɹm,ˈɑːɹm"
"1094,1101","about,about","o,okolo","ɐbˈaʊt,ɐbˈaʊt"
"1097,1397","call,call","volání,volat","kˈɔːl,kˈɔːl"
"1098,1099,4143","above,above,above","více než,výše,nad","əbˈʌv,əbˈʌv,əbˈʌv"
"1102,1639","another,another","další,jiný","ɐnˈʌðɚ,ɐnˈʌðɚ"
"1103,4640","book,book","kniha,rezervovat","bˈʊk,bˈʊk"
"1112,2350","camp,camp","tábor,tábořit","kˈæmp,kˈæmp"
"1114,1116","answer,answer","odpovědět,odpověď","ˈænsɚ,ˈænsɚ"
"1122,2398","bank,bank","banka,břeh řeky","bˈæŋk,bˈæŋk"
"1125,1128","cross,cross","přejít,kříž","kɹˈɔs,kɹˈɔs"
"1132,5015","roll,roll","role (např. papíru),rolovat","ɹˈoʊl,ɹˈoʊl"
"1133,3963","count,count","počítat,počet","kˈaʊnt,kˈaʊnt"
"1136,5278","roast,roast","opékat,pečeně","ɹˈoʊst,ɹˈoʊst"
"1140,3056","knock,knock","klepání,klepat","nˈɑːk,nˈɑːk"
"1142,6657","cruise,cruise","plavba,plavit se","kɹˈuːz,kɹˈuːz"
"1143,5124","stamp,stamp","razítko,orazit","stˈæmp,stˈæmp"
"1175,4924","rock,rock","skála,otřásat","ɹˈɑːk,ɹˈɑːk"
"1176,3997","strike,strike","stávka,udeřit","stɹˈaɪk,stɹˈaɪk"
"1194,6558","deep,deep","hlubina,hluboký","dˈiːp,dˈiːp"
"1195,7214","influence,influence","vliv,ovlivnit","ˈɪnfluːəns,ˈɪnfluːəns"
"1202,3839","deal,deal","dohoda,jednat","dˈiːl,dˈiːl"
"1217,1238","return,return","návrat,vrátit","ɹᵻtˈɜːn,ɹᵻtˈɜːn"
"1224,1235","alright,alright","v pořádku,dobře","ɔːlɹˈaɪt,ɔːlɹˈaɪt"
"1225,3614","interest,interest","zajímat,úrok","ˈɪntɹɛst,ˈɪntɹɛst"
"1236,6570","budget,budget","naplánovat,rozpočet","bˈʌdʒɪt,bˈʌdʒɪt"
"1237,3891","delay,delay","zpoždění,zdržet","dᵻlˈeɪ,dᵻlˈeɪ"
"1263,3514","joke,joke","vtip,žertovat","dʒˈoʊk,dʒˈoʊk"
"1268,7482","issue,issue","problém,vydat","ˈɪʃuː,ˈɪʃuː"
"1270,5165,5188","state,state,state","stát,stav,uvést","stˈeɪt,stˈeɪt,stˈeɪt"
"1287,7486","jam,jam","džem,nacpat","dʒˈæm,dʒˈæm"
"1290,1402","cost,cost","náklady,stát (peníze)","kˈɔst,kˈɔst"
"1293,3795","coast,coast","pobřeží,sjíždět bez motoru","kˈoʊst,kˈoʊst"
"1300,3790","sweat,sweat","potit,pot","swˈɛt,swˈɛt"
"1304,7444","bargain,bargain","výhodná dohoda,vyjednávat","bˈɑːɹɡɪn,bˈɑːɹɡɪn"
"1312,3780","click,click","cvaknutí,klikněte","klˈɪk,klˈɪk"
"1322,3224","release,release","propuštění,uvolnění","ɹᵻlˈiːs,ɹᵻlˈiːs"
"1325,1326","comic,comic","vtipný,komik","kˈɑːmɪk,kˈɑːmɪk"
"1332,7380","load,load","zatížení,naložit","lˈoʊd,lˈoʊd"
"1333,6357","comb,comb","hřeben,česat","kˈoʊm,kˈoʊm"
"1339,3288","lock,lock","zámek,uzamknout","lˈɑːk,lˈɑːk"
"1342,3675","alarm,alarm","poplach,zděšení","ɐlˈɑːɹm,ɐlˈɑːɹm"
"1344,5573","regret,regret","litovat,lítost","ɹᵻɡɹˈɛt,ɹᵻɡɹˈɛt"
"1347,3778","clear,clear","jasný,vyčistit","klˈɪɹ,klˈɪɹ"
"1362,1365","mark,mark","označit,značka","mˈɑːɹk,mˈɑːɹk"
"1366,3735","chat,chat","povídání,bavit se","tʃˈæt,tʃˈæt"
"1367,3180","market,market","propagovat,trh","mˈɑːɹkɪt,mˈɑːɹkɪt"
"1373,3208","male,male","muž,samec","mˈeɪl,mˈeɪl"
"1380,6527","classic,classic","klasický,znamenitý","klˈæsɪk,klˈæsɪk"
"1383,3818","claim,claim","požadovat,tvrzení","klˈeɪm,klˈeɪm"
"1392,7457","major,major","hlavní,major","mˈeɪdʒɚ,mˈeɪdʒɚ"
"1393,3142","barbecue,barbecue","grilování,gril","bˈɑːɹbɪkjˌuː,bˈɑːɹbɪkjˌuː"
"1405,2984","reply,reply","odpověď,odpovědět","ɹᵻplˈaɪ,ɹᵻplˈaɪ"
"1412,2991","lead,lead","vést,olovo","lˈiːd,lˈiːd"
"1416,3956","control,control","řízení,kontrolovat","kəntɹˈoʊl,kəntɹˈoʊl"
"1420,1421","contact,contact","kontaktovat,kontakt","kˈɑːntækt,kˈɑːntækt"
"1425,1426","repair,repair","opravit,oprava","ɹᵻpˈɛɹ,ɹᵻpˈɛɹ"
"1430,2981","report,report","zpráva,oznámit","ɹᵻpˈɔːɹt,ɹᵻpˈɔːɹt"
"1433,5473","research,research","výzkum,zkoumat","ɹᵻsˈɜːtʃ,ɹᵻsˈɜːtʃ"
"1437,5419","stuff,stuff","věc,nacpat","stˈʌf,stˈʌf"
"1438,3121","land,land","země,přistát","lˈænd,lˈænd"
"1443,3086","request,request","žádost,požadovat","ɹᵻkwˈɛst,ɹᵻkwˈɛst"
"1444,3920","burn,burn","hořet,spálit","bˈɜːn,bˈɜːn"
"1446,3094","last,last","poslední,trvat","lˈæst,lˈæst"
"1454,7526","latter,latter","poslední,druhý ze dvou","lˈæɾɚ,lˈæɾɚ"
"1459,3216","base,base","základna,báze","bˈeɪs,bˈeɪs"
"1463,3008","lie,lie","lež,lhát","lˈaɪ,lˈaɪ"
"1475,3658","complete,complete","kompletní,dokončit","kəmplˈiːt,kəmplˈiːt"
"1479,3652","support,support","podpora,podporovat","səpˈɔːɹt,səpˈɔːɹt"
"1488,6343","concern,concern","znepokojení,týkat se","kənsˈɜːn,kənsˈɜːn"
"1491,1995","rent,rent","pronajmout,nájemné","ɹˈɛnt,ɹˈɛnt"
"1493,1494","suit,suit","oblek,vyhovovat","sˈuːt,sˈuːt"
"1512,3015","level,level","úroveň,zarovnat","lˈɛvəl,lˈɛvəl"
"1528,1529","extra,extra","další,navíc","ˈɛkstɹə,ˈɛkstɹə"
"1535,4687","skate,skate","brusle,bruslit","skˈeɪt,skˈeɪt"
"1538,4680","express,express","rychlík,vyjádřit","ɛkspɹˈɛs,ɛkspɹˈɛs"
"1544,4647","sink,sink","dřez,potopit","sˈɪŋk,sˈɪŋk"
"1547,2916","graduate,graduate","absolvovat,absolvent","ɡɹˈædʒuːət,ɡɹˈædʒuːət"
"1559,4663","fancy,fancy","módní,představit si","fˈænsi,fˈænsi"
"1563,4659","fall,fall","pád,podzim","fˈɔːl,fˈɔːl"
"1573,4649","single,single","jedinný,svobodný","sˈɪŋɡəl,sˈɪŋɡəl"
"1578,5799","slide,slide","skluzavka,sklouznout","slˈaɪd,slˈaɪd"
"1587,2869","blame,blame","vina,obviňovat","blˈeɪm,blˈeɪm"
"1598,5821","screw,screw","šroub,šroubovat","skɹˈuː,skɹˈuː"
"1601,5459","screen,screen","obrazovka,kontrolovat","skɹˈiːn,skɹˈiːn"
"1604,4459","even,even","sudý,dokonce","ˈiːvən,ˈiːvən"
"1606,5801","slice,slice","plátek,krájet","slˈaɪs,slˈaɪs"
"1608,4670","ski,ski","lyže,lyžovat","skˈiː,skˈiː"
"1620,2809","search,search","vyhledávání,vyhledávat","sˈɜːtʃ,sˈɜːtʃ"
"1622,5964","brake,brake","brzda,brzdit","bɹˈeɪk,bɹˈeɪk"
"1624,6190","guard,guard","hlídat,stráž","ɡˈɑːɹd,ɡˈɑːɹd"
"1626,4437","exchange,exchange","výměna,vyměnit","ɛkstʃˈeɪndʒ,ɛkstʃˈeɪndʒ"
"1630,1631","except,except","vyjmout,kromě","ɛksˈɛpt,ɛksˈɛpt"
"1632,4431","branch,branch","větev,pobočka","bɹˈæntʃ,bɹˈæntʃ"
"1640,2762","fry,fry","potěr,smažit","fɹˈaɪ,fɹˈaɪ"
"1644,5137","shock,shock","šok,šokovat","ʃˈɑːk,ʃˈɑːk"
"1646,2786","shadow,shadow","stín,stínit","ʃˈædoʊ,ʃˈædoʊ"
"1648,2791","function,function","fungovat,funkce","fˈʌŋkʃən,fˈʌŋkʃən"
"1650,4636","fool,fool","blázen,pobláznit","fˈuːl,fˈuːl"
"1654,4574","flood,flood","zaplavit,potopa","flˈʌd,flˈʌd"
"1656,4572","float,float","plovák,plovat","flˈoʊt,flˈoʊt"
"1661,2766","further,further","další,vzdálenější","fˈɜːðɚ,fˈɜːðɚ"
"1670,2744","shape,shape","tvar,tvarovar","ʃˈeɪp,ʃˈeɪp"
"1678,5208","shell,shell","skořápka,granát","ʃˈɛl,ʃˈɛl"
"1689,6278","force,force","síla,platnost","fˈɔːɹs,fˈɔːɹs"
"1695,2849","handle,handle","držadlo,zacházet s","hˈændəl,hˈændəl"
"1700,4701","bother,bother","dát si námahu,obtěžovat","bˈɑːðɚ,bˈɑːðɚ"
"1703,4700","few,few","pár,málo","fjˈuː,fjˈuː"
"1705,6269","female,female","žena,samička","fˈiːmeɪl,fˈiːmeɪl"
"1707,4932","separate,separate","samostatný,oddělit","sˈɛpɹət,sˈɛpɹət"
"1715,6260","fear,fear","strach,obávat se","fˈɪɹ,fˈɪɹ"
"1717,5013","sense,sense","smysl,cítit","sˈɛns,sˈɛns"
"1719,1721","silver,silver","stříbro,stříbrný","sˈɪlvɚ,sˈɪlvɚ"
"1724,6262","feature,feature","funkce,rys","fˈiːtʃɚ,fˈiːtʃɚ"
