id,english,česky
125,horký,hot
126,záznam,record
127,strana,side
128,brzy,soon
129,nehoda,accident
130,modrý,blue
131,lékař,doctor
132,daleko,far
133,minulý,last
134,zbylý,left
135,rychlý,quick
136,rychle,quickly
137,obchod,shop
138,ulice,street
139,strašný,terrible
140,doprava,traffic
141,otáčet,turn
142,různý,various
143,bílý,white
144,porovnat,compare
145,východ,east
146,západ,west
147,fotoaparát,camera
148,plný,full
149,sever,north
150,letadlo,plane
151,připravený,ready
152,zůstat,stay
153,obyvatelstvo,population
154,přístav,port
155,místo,site
156,nemocný,ill
157,sebemenší,least
158,méně,less
159,sám,alone
160,pivo,beer
161,džus,juice
162,dáma,lady
163,maso,meat
164,rýže,rice
165,omáčka,sauce
166,polévka,soup
167,nejhorší,worst
168,nůž,knife
169,široký,wide
170,láhev,bottle
171,máslo,butter
172,sýr,cheese
173,smetana,cream
174,možný,possible
175,sůl,salt
176,nakupování,shopping
177,prodej,sale
178,kdokoli,anybody
179,cokoliv,anything
180,špatný,bad
181,rychlý,fast
182,zdravý,healthy
183,lékařský,medical
184,nikdo,nobody
185,na,onto
186,krátký,short
187,věda,science
188,narozený,born
189,opravdu,really
190,obloha,sky
191,údolí,valley
192,září,september
193,častý,frequent
194,mokrý,wet
195,automatizační,automation
196,zlepšit,improve
197,plán,plan
198,klobouk,hat
199,způsob,manner
200,sukně,skirt
201,ochranná,trademark
202,herectví,acting
203,drama,drama
204,nenávidět,hate
205,skoro,nearly
206,až,until
207,biologie,biology
208,zranit,hurt
209,možná,maybe
210,procento,percent
211,všude,everywhere
212,uvnitř,inside
213,princ,prince
214,královna,queen
215,královský,royal
216,neznámý,unknown
217,pod,below
218,mezinárodní,international
219,se,myself
220,divoká,wildlife
221,schopnost,ability
222,přesnost,accuracy
223,předchozí,previous
224,úplně,entirely
225,vzít,take
226,podnebí,climate
227,nedaleko,nearby
228,teplota,temperature
229,spravedlivý,fair
230,stroje,machinery
231,příjemný,pleasant
232,poskytnout,provide
233,v,worth
234,garáž,garage
235,v,within
236,auto,automobile
237,rádio,radio
238,nad,above
239,vhodný,convenient
240,oheň,fire
241,lázně,spa
242,styl,style
243,datum,date
244,obnovení,restoration
245,dobytek,cattle
246,slavný,famous
247,hlavní,major
248,severozápad,northwest
249,poezie,poetry
250,naprosto,absolutely
251,rada,advice
252,scéna,scene
253,adresa,address
254,naprosto,completely
255,zmenšit,reduce
256,konečně,finally
257,přání,wish
258,lokalizovat,locate
259,policie,police
260,přesný,exact
261,americký,football
262,obrovský,huge
263,sólový,solo
264,podpis,signature
265,slavit,celebrate
266,legrace,fun
267,rameno,shoulder
268,zastupitelství,agency
269,duch,ghost
270,přistěhovalectví,immigration
271,mír,peace
272,široce,widely
273,horko,heat
274,nepřítomný,absent
275,uhlí,coal
276,vážný,severe
277,federace,federation
278,prérie,prairie
279,provincie,province
280,čistý,pure
281,nalezený,found
282,opera,opera
283,dobrovolný,voluntary
284,pomocí,by
285,invalida,invalid
286,příjem,income
287,naplněný,packed
288,dostat,receive
289,víno,wine
290,druh,sort
291,vyhrát,win
292,vzdělání,education
293,účet,account
294,federální,federal
295,ranč,ranch
296,zlato,gold
297,mrtvý,gone
298,dálnice,highway
299,železnice,railroad
300,stříbro,silver
301,divoký,wild
302,behěm,throughout
303,třídit,grade
304,tichý,pacific
305,slohová,essay
306,železnice,railway
307,odpočinek,recreation
308,prostě,simply
309,kdežto,whereas
310,stárnoucí,aging
311,vyčerpávající,comprehensive
312,právní,legal
313,býk,bull
314,kůň,horse
315,zneužít,abuse
316,ubytování,accommodation
317,jednat,act
318,jednání,action
319,letitý,aged
320,neoznačný,anonymous
321,lehká,athletics
322,vhodný,appropriate
323,vedlejší,clause
324,nesprávný,false
325,odpovědět,respond
326,ztracený,lost
327,muset,must
328,díra,hole
329,jazyk,tongue
330,náhrdelník,necklace
331,kromě,except
332,také,neither
333,horečka,fever
334,zdravotní,nurse
335,kost,bone
336,pyšný,proud
337,stvrzenka,receipt
338,hrdlo,throat
339,nicméně,however
340,měď,copper
341,pobřeží,coast
342,síť,net
343,dotknout,touch
344,vyzrálý,ripe
345,souhlas,consent
346,komponovaný,composed
347,zachování,preservation
348,náhradní,spare
349,neřest,vice
350,fáze,phase
351,kotva,anchor
352,díky,thanks
353,e,email
354,je,them
355,ahoj,hello
356,slunečný,sunny
357,přesně,exactly
358,běh,running
359,fotbal,soccer
360,golf,golf
361,plavání,swimming
362,dar,gift
363,hrdina,hero
364,kolo,bike
365,sedět,sit
366,dolar,dollar
367,programové,software
368,prohrát,lose
369,letectví,aviation
370,muž,man
371,nemožný,impossible
372,opatrně,carefully
373,průkopník,pioneer
374,vydat,publish
375,vzorek,sample
376,balíček,packet
377,med,honey
378,promiňte,sorry
379,bezpečný,safe
380,vysoký,tall
381,chrám,temple
382,chudoba,poverty
383,klenoty,jewellery
384,růžový,pink
385,ovlivnit,affect
386,sval,muscle
387,pohostinnost,hospitality
388,balení,packing
389,sluneční,sunshine
390,paprsek,ray
391,záchod,toilet
392,domácí,pet
393,dovolit,allow
394,trochu,slightly
395,nemocný,sick
396,volno,leisure
397,čest,honor
398,lov,hunting
399,písek,sand
400,náboženský,religious
401,obsazený,engaged
402,usilovat,struggle
403,led,ice
404,nebe,heaven
405,dálkový,remote
406,recepce,reception
407,vysoká,deer
408,opravdu,truly
409,pověst,reputation
410,konečný,ultimate
411,z,frozen
412,pravý,genuine
413,hledat,seek
414,chlápek,guy
415,výcvik,training
416,zoufalý,desperate
417,doopravdy,actually
418,sraz,reunion
419,hudba,soundtrack
420,příběh,tale
421,dopravní,transportation
422,automobilový,automotive
423,ropa,petroleum
424,telekominikace,telecommunications
425,způsobilost,fitness
426,vybrat,select
427,balení,packaging
428,financování,funding
429,vzorec,formula
430,výstřižek,cutting
431,nezákonný,illegal
432,zákonodárství,legislation
433,nedávný,recent
434,stejně,equally
435,myš,mouse
436,rozržení,layout
437,pravdivý,designated
438,pasta,paste
439,pravděpodobně,likely
440,související,related
441,podrobit,submit
442,správa,administration
443,stranou,apart
444,rozsah,scale
445,spolehlivost,reliability
446,vypínač,switch
447,oživit,boost
448,účinnost,effectiveness
449,v,downtown
450,zavedený,established
451,oddaný,dedicated
452,virtuální,virtual
453,ty,you
454,čtyři,four
455,osm,eight
456,dvanáct,twelve
457,pes,dog
458,tvůj,your
459,nos,nose
460,oko,eye
461,opice,monkey
462,nohy,feet
463,jezero,lake
464,dvacet,twenty
465,směsice,mixture
466,bláznivý,crazy
467,hraní,playing
468,jedení,eating
469,tkáň,tissue
470,pití,drinking
471,ven,out
472,vlna,wave
473,informace,information
474,studio,studio
475,kdekoliv,anywhere
476,šílený,mad
477,důvěra,confidence
478,uspokojení,satisfaction
479,zdvořilost,courtesy
480,podnět,initiative
481,každý,everyone
482,vstup,input
483,exkluzivní,exclusive
484,obnovit,restore
485,vir,virus
486,do,to
487,jejich,their
488,skupina,group
489,prodej,selling
490,příručka,guide
491,hrnec,pot
492,velkolepý,spectacular
493,táboření,camping
494,bylinný,herbal
495,čestný,honest
496,lékařský,diagnosis
497,vlk,wolf
498,snadno,easily
499,bohatství,wealth
500,zastřešený,covered
501,úhel,angle
502,vzácný,precious
503,přimo,directly
504,dřívější,earlier
505,sotva,hardly
506,oblačný,cloudy
507,sopořádaný,ordered
508,požadovaný,required
509,dřevěný,wooden
510,učený,learned
511,kladný,positive
512,běžný,ordinary
513,oholený,shaved
514,tichý,silent
515,zpříma,straight
516,šedivý,gray
517,hlavně,primarily
518,taxík,cab
519,výbor,committee
520,konference,conference
521,autorské,copyright
522,odjezd,departure
523,zkáza,destruction
524,rozmanitý,diverse
525,domácí,domestic
526,tucet,dozen
527,kterýkoliv,either
528,stávající,existing
529,nepřítomnost,absence
530,přístup,access
531,aktivní,active
532,zahrádkářství,gardening
533,globus,globe
534,přístav,harbor
535,palec,inch
536,začlenění,integration
537,radost,joy
538,játra,liver
539,velkoměstský,metropolitan
540,bezdrátový,wireless
541,ušlechtilý,noble
542,zjevný,obvious
543,výstupní,output
544,přehlídka,parade
545,slovní,phrase
546,borovice,pine
547,prezidentský,presidential
548,zadní,rear
549,krajový,regional
550,skalnatý,rocky
551,zastřihnout,trim
552,krocan,turkey
553,přes,via
554,doplňky,accessories
555,družice,satellite
556,uspokojit,satisfy
557,schéma,scheme
558,tajemník,secretary
559,prostředí,setting
560,jihovýchodní,southeast
561,akustický,acoustic
562,kotouč,disc
563,přijetí,acceptance
564,zvýšený,added
565,drát,wire
566,přijatelný,acceptable
567,boj,combat
568,popel,ash
569,video,video
570,naprostý,absolute
571,zadaný,assignment
572,podrobný,detailed
573,tabák,tobacco
574,spolupráce,collaboration
575,cukrovka,diabetes
576,abstraktní,abstract
577,účetnictví,accounting
578,akademický,academic
579,stránka,aspect
580,přežití,survival
581,vnímající,aware
582,získání,acquisition
583,podle,according
584,jihozápadní,southwest
585,zdrhovadlo,zip
586,vzdělávací,educational
587,rovnost,equality
588,fanoušek,fan
589,rozumová,intelligence
590,vedení,leadership
591,literární,literary
592,muž,male
593,náhled,outlook
594,možná,possibly
595,rehabilitace,rehabilitation
596,ulevit,relief
597,v,respectively
598,stoh,rick
599,adaptér,adapter
600,dále,additionally
601,papírování,admin
602,vepřovice,adobe
603,aljašský,alaska
604,kdokoliv,anyone
605,podloubí,arcade
606,vznikající,arising
607,mítink,rally
608,bestialita,bestiality
609,bingo,bingo
610,nakupování,buying
611,vápník,calcium
612,mys,cape
613,působící,causing
614,klinický,clinical
615,barevný,colored
616,slučitelný,compatible
617,stlačený,compressed
618,scelování,consolidation
619,bednář,cooper
620,správně,correctly
621,kormidelník,cox
622,dánský,danish
623,žleb,dell
624,schéma,diagram
625,jídelní,dining
626,dokumentace,documentation
627,základní,elementary
628,vybavený,equipped
629,vyjma,excluding
630,zkušený,experienced
631,boj,fighting
632,napření,focusing
633,gel,gel
634,žánr,genre
635,dávající,giving
636,rostocí,growing
637,léčení,healing
638,identifikující,identifying
639,uložený,imposed
640,zahrnutý,included
641,zájezdní,inn
642,uvozený,introduced
643,sojka,jay
644,džez,jazz
645,učení,learning
646,přihlášení,login
647,nákupní,mall
648,matematický,mathematical
649,odměrný,measuring
650,mega,mega
651,mechanický,mechanical
652,mikrák,mike
653,mlynář,miller
654,zkratka,mod
655,moderátor,moderator
656,hudební,musical
657,buzík,nancy
658,severovýchodní,northeast
659,kost,os
660,přesáhnout,outreach
661,zámořský,overseas
662,podílející,participating
663,fyziologie,physiology
664,platina,platinum
665,papež,pope
666,portugalský,portuguese
667,těhotenství,pregnancy
668,jmenovitý,rated
669,dojetí,reaching
670,čidlo,receptor
671,chechtáky,rocks
672,rozumím,roger
673,tulák,rover
674,písečný,sandy
675,sdílený,shared
676,měl,should
677,otrok,slave
678,coura,slut
679,nehybný,static
680,statistické,stats
681,síla,strength
682,silně,strongly
683,střádající,sub
684,soubor,syndrome
685,prst,toe
686,stopař,tracker
687,namáhavý,trying
688,jednotný,united
689,pomocí,using
690,proměnná,variable
691,vinyl,vinyl
692,chodec,walker
693,hurá,yahoo
694,spolupachatel,accessory
695,aktivizace,activation
696,závislost,addiction
697,přidávání,adding
698,adresováný,addressed
699,poradní,advisory
700,alokovaný,allocated
701,jantar,amber
702,tykadlo,antenna
703,bisexuál,bi
704,melancholie,blues
705,diftongizace,breaking
706,klikání,clicking
707,sloučený,consolidated
708,navrhování,designing
709,zábava,entertainment
710,večer,eve
711,vztahující,faced
712,dát,give
713,tvrdé,hardcore
714,mající,headed
715,snad,hopefully
716,zahrnovat,include
717,zápočet,inclusion
718,se,itself
719,páčidlo,jimmy
720,rytíř,knight
721,laborka,lab
722,plášť,mac
723,makro,macro
724,rozvážný,measured
725,mikro,micro
726,uzlina,node
727,obsazený,occupied
728,využívání,outsourcing
729,lékárna,pharmacy
730,vybraný,picked
731,plazmový,plasma
732,hraný,played
733,nedovolený,prohibited
734,doporučený,registered
735,skórování,scoring
736,obsloužený,served
737,naloděný,shipped
738,stanovený,stated
739,překvapený,surprised
740,námět,theme
741,terapeutický,therapeutic
742,tepelný,thermal
743,trojitý,triple
744,zrakový,visual
745,zpracovaný,worked
746,ty,ya
747,získaný,acquired
748,advokacie,advocacy
749,přičleněný,affiliated
750,amazonka,amazon
751,ve,beta
752,zhodnocený,evaluated
753,pěna,foam
754,soustředěný,focused
755,zobrazovací,imaging
756,včetně,inclusive
757,omezený,limited
758,farnost,parish
759,vyčurat,pee
760,provádějící,performing
761,připravování,preparing
762,horský,ridge
763,statutární,statutory
764,domnělý,supposed
765,šablona,template
766,kdykoli,whenever
767,odpovídajícím,accordingly
768,o,against
769,dohodnutý,agreed
770,pohupovat,bob
771,způsobilost,eligibility
772,doprovod,escort
773,v,incorporated
774,informovat,inform
775,matice,matrix
776,minimum,minimum
777,opatrující,nursing
778,jsoucí,opposed
779,přes,overnight
780,nábor,recruitment
781,žijící,separated
782,nerezový,stainless
783,tribun,tribune
784,káď,tub
785,řítit,zoom
786,dovolený,allowed
787,hodící,applicable
788,poměrný,comparative
789,létající,flying
790,způsob,mode
791,z,of
792,obnovení,renewal
793,výdaje,spending
794,opravdový,actual
795,vedený,conducted
796,nahý,nude
797,urážlivý,offensive
798,banda,bunch
799,donutit,force
800,tryskání,jet
801,prošetřovat,probe
802,posvátný,sacred
803,zákon,statute
804,strojený,affected
805,ve,alert
806,keř,bush
807,homosexuál,gay
808,hlavní,prime
809,prut,rod
810,pozastavení,suspension
811,melodie,tune
812,škola,school
813,syn,son
814,sport,sport
815,narozeniny,birthday
816,jak,how
817,snídaně,breakfast
818,dlouho,long
819,noviny,newspaper
820,sestra,sister
821,hodina,hour
822,firma,firm
823,oddělení,section
824,nadání,talent
825,svět,world
826,rodič,parent
827,znamenat,mean
828,partner,partner
829,návštěvník,visitor
830,dokonce,even
831,přestat,stop
832,košile,shirt
833,zítra,tomorrow
834,snažit,try
835,nosit,wear
836,zvláštní,special
837,univerzita,university
838,vést,lead
839,běžet,run
840,tým,team
841,prodat,sell
842,družstvo,cooperative
843,další,extra
844,naděje,hope
845,lampa,lamp
846,píseň,song
847,pásek,tape
848,zeď,wall
849,říkat,call
850,střed,center
851,křížek,cross
852,hluk,noise
853,otevřít,open
854,červený,red
855,pamatovat,remember
856,žlutý,yellow
857,sladký,sweet
858,letiště,airport
859,fotografie,photograph
860,poslat,send
861,území,territory
862,smutný,sad
863,přeložit,translate
864,marmeláda,jam
865,místní,local
866,papír,paper
867,konzerva,tin
868,řídit,drive
869,služba,service
870,válka,war
871,těžký,heavy
872,mapa,map
873,okamžik,moment
874,řeka,river
875,roční,season
876,léto,summer
877,turista,tourist
878,dřevo,wood
879,tlustý,thick
880,nedostatek,lack
881,linka,line
882,strom,tree
883,vesnice,village
884,návrhář,designer
885,skutečný,real
886,pravidelný,regular
887,překvapit,surprise
888,rozbít,break
889,matematika,mathematics
890,les,forest
891,ustoupit,yield
892,sto,hundred
893,moře,sea
894,říci,tell
895,zahájit,mount
896,ostrov,island
897,prázdniny,vacation
898,pásmo,zone
899,ukázat,show
900,odborník,specialist
901,velká,corporation
902,ekonomie,economy
903,rostlina,plant
904,lev,lion
905,oblast,region
906,rozprostřít,spread
907,návrh,suggestion
908,původní,original
909,majetek,property
910,sloučit,combine
911,zvýšení,rise
912,separát,separate
913,čtenář,reader
914,až,till
915,pošta,mail
916,miliarda,billion
917,průzkum,exploration
918,měsíc,moon
919,pořadač,file
920,dopředu,forward
921,položka,item
922,odkaz,reference
923,svetr,jersey
924,pán,master
925,mistrovství,championship
926,sníh,snow
927,nula,zero
928,svatý,saint
929,norma,standard
930,úspěch,achievement
931,mzda,wage
932,člun,boat
933,uvědomit,realize
934,místo,spot
935,společnost,society
936,systém,system
937,krajina,landscape
938,úspora,saving
939,urovnání,settlement
940,celková,total
941,zvíře,animal
942,sázka,bet
943,pomalý,slow
944,stezka,trail
945,nezbytný,essential
946,situace,situation
947,biskup,bishop
948,ocel,steel
949,přepych,luxury
950,výsledek,result
951,léčba,treatment
952,dobrodružství,adventure
953,alkohol,alcohol
954,spojenectví,alliance
955,četnost,frequency
956,množství,quantity
957,týkat,relate
958,řada,sequence
959,tvrzení,thesis
960,shrnutí,summary
961,chirurgický,surgery
962,trenér,trainer
963,ocas,tail
964,semeno,seed
965,houpat,swing
966,bezpečnost,safety
967,stín,shadow
968,klacek,stick
969,poklonit,bow
970,boží,divine
971,vitrína,showcase
972,čtení,reading
973,maketa,model
974,teplý,warm
975,křídlo,wing
976,televize,television
977,nic,nothing
978,přednáška,lecture
979,přítel,friend
980,filozofie,philosophy
981,celosvětový,worldwide
982,oliva,olive
983,třešeň,cherry
984,bojovat,fight
985,pravda,truth
986,románek,romance
987,bouřka,storm
988,bezpečnost,security
989,posílat,text
990,guma,rubber
991,mysl,mind
992,oddělení,ward
993,diamant,diamond
994,voják,soldier
995,poskakovat,skip
996,surový,raw
997,dovednost,skill
998,okolo,round
999,rakovina,cancer
1000,vítěz,winner
1001,knoflík,button
1002,hřebík,nail
1003,symbol,symbol
1004,kurz,course
1005,varování,warning
1006,farmaceutický,pharmaceutical
1007,maloobchodní,retail
1008,projekt,project
1009,dodavatel,supplier
1010,agenda,agenda
1011,celkový,overall
1012,proměna,transformation
1013,doporučení,recommendation
1014,zaměřit,focus
1015,databáze,database
1016,scénař,script
1017,zástupce,agent
1018,nápor,strain
1019,kláda,log
1020,izolovaný,isolated
1021,skladování,storage
1022,kazeta,cassette
1023,tři,three
1024,panenka,doll
1025,špatný,wrong
1026,pavouk,spider
1027,silný,strong
1028,tvoření,making
1029,plánování,planning
1030,tunel,tunnel
1031,jasný,bright
1032,visačka,tag
1033,poslání,mission
1034,vzpomínat,recall
1035,propojení,combination
1036,poloha,location
1037,zasedání,session
1038,stánkový,vendor
1039,určitý,specific
1040,příjemce,recipient
1041,úloha,task
1042,zotavení,recovery
1043,server,server
1044,moci,can
1045,zobcová,recorder
1046,porazit,beat
1047,vyznání,religion
1048,soud,trial
1049,zaměstnanec,employee
1050,důkaz,proof
1051,bronz,bronze
1052,sčítání,census
1053,desetiletí,decade
1054,album,album
1055,dědictví,heritage
1056,yard,yard
1057,naložit,load
1058,námořnictvo,navy
1059,zbraň,weapon
1060,procentní,percentage
1061,snížení,reduction
1062,udržet,retain
1063,oloupit,rob
1064,používání,usage
1065,veterán,veteran
1066,plat,salary
1067,stipendium,scholarship
1068,výběr,selection
1069,prodávající,seller
1070,list,sheet
1071,zvuk,sound
1072,specialita,specialty
1073,přičlenit,affiliate
1074,mýtné,toll
1075,vidění,vision
1076,kyselina,acid
1077,dostatečný,sufficient
1078,stadion,stadium
1079,nádrž,tank
1080,jednota,unity
1081,akcie,stock
1082,znepokojení,alarm
1083,liberální,liberal
1084,hedvábí,silk
1085,kůže,skin
1086,upřesnit,specify
1087,oddělení,squad
1088,segment,segment
1089,výhoda,advantage
1090,eso,ace
1091,naléhavý,acute
1092,správce,administrator
1093,dospělá,adult
1094,zadavatel,advertiser
1095,odpoledne,afternoon
1096,cizinec,alien
1097,příděl,allocation
1098,anděl,angel
1099,připojování,annotation
1100,udělat,boob
1101,zadek,butt
1102,velbloud,camel
1103,cedr,cedar
1104,koalice,coalition
1105,studený,cold
1106,obměna,variation
1107,přes,across
1108,prvek,element
1109,úvěr,credit
1110,krystal,crystal
1111,opilý,drunk
1112,mísa,basin
1113,držitel,holder
1114,kapitálová,holding
1115,nemocnice,hospital
1116,ukazatel,index
1117,nakládání,loading
1118,uskutečnění,implementation
1119,instruktor,instructor
1120,celé,integer
1121,hever,jack
1122,vražedný,killing
1123,závětří,lee
1124,chata,lodge
1125,výrobce,maker
1126,javor,maple
1127,příjem,revenue
1128,starosta,mayor
1129,měřící,meter
1130,učinit,null
1131,jesle,nursery
1132,organizace,organization
1133,uspořádaný,organized
1134,zaměření,orientation
1135,princezna,princess
1136,hlavní,principal
1137,program,program
1138,odhad,projection
1139,podporovat,promote
1140,ochranný,protective
1141,protokol,protocol
1142,tep,pulse
1143,nejít,puzzle
1144,hledání,quest
1145,rozpoznaný,recognized
1146,nahrávka,recording
1147,vykoupit,redeem
1148,prinájem,rental
1149,odpovědět,reply
1150,reprodukce,reproduction
1151,jezdec,rider
1152,scénář,scenario
1153,odběr,sampling
1154,břeh,shore
1155,zavřít,shut
1156,hřích,sin
1157,spaní,sleeping
1158,duše,soul
1159,špion,spy
1160,sponsorovat,sponsor
1161,pocházet,stem
1162,trpět,suffer
1163,nevyléčitelný,terminal
1164,ukončení,termination
1165,terorista,terrorist
1166,poučka,theorem
1167,věž,tower
1168,černošské,township
1169,transakce,transaction
1170,vědomosti,understanding
1171,vakuum,vacuum
1172,divák,viewer
1173,porušení,violation
1174,panna,virgin
1175,vitamínový,vitamin
1176,hlasitě,vocal
1177,vítězný,winning
1178,získat,acquire
1179,vstup,admission
1180,dodatek,amendment
1181,prasknout,crack
1182,vypouštění,emission
1183,základní,fundamental
1184,Evangelium,gospel
1185,míra,measurement
1186,nabídka,offering
1187,plánovač,planner
1188,police,rack
1189,postavení,rank
1190,oprávněný,authorized
1191,máta,mint
1192,inventář,inventory
1193,nemluvňata,babes
1194,koule,balls
1195,kameník,mason
1196,váčky,bags
1197,karty,cards
1198,pouta,chains
1199,hranolky,chips
1200,okolnosti2,circumstances
1201,náklady,costs
1202,nezbytnosti,essentials
1203,vojenské,exercises
1204,dodatečné,extras
1205,about,feelings
1206,pozemky,grounds
1207,nejdůležitější,highlights
1208,mládež,kids
1209,číča,pussy
1210,listiny,papers
1211,řada,series
1212,tenisky,pumps
1213,móda,fashion
1214,světové,points
1215,přístupný,accessible
1216,přidat,add
1217,sčítání,addition
1218,přizpůsobit,adjust
1219,připustit,admit
1220,přijmout,adopt
1221,přijetí,adoption
1222,postoupit,advance
1223,pokročilý,advanced
1224,reklama,advertisement
1225,dovolit,afford
1226,věk,age
1227,souhlas,agreement
1228,před,ahead
1229,cíl,aim
1230,vzduch,air
1231,střídat,alternate
1232,náhradní,alternative
1233,amatér,amateur
1234,množství,amount
1235,rozbor,analysis
1236,analytik,analyst
1237,rozebrat,analyze
1238,antický,ancient
1239,každoroční,annual
1240,odpovědět,answer
1241,starožitný,antique
1242,zdánlivý,apparent
1243,naléhavá,appeal
1244,zdát,appear
1245,vzhled,appearance
1246,žádost,application
1247,jmenování,appointment
1248,vážit,appreciate
1249,oblast,area
1250,argument,argument
1251,projektant,architect
1252,stavitelství,architecture
1253,paže,arm
1254,zbraně,arms
1255,uspořádaný,arranged
1256,dohoda,arrangement
1257,obžalovaný,accused
1258,výtvarné,art
1259,článek,article
1260,umělý,artificial
1261,pomáhat,assist
1262,spojovat,associate
1263,spojený,associated
1264,sdružení,association
1265,předpokládat,assume
1266,připevnit,attach
1267,lpící,attached
1268,příloha,attachment
1269,postoj,attitude
1270,přisuzovat,attribute
1271,dražba,auction
1272,obecenstvo,audience
1273,pravomoc,authority
1274,automatický,automatic
1275,dostupný,available
1276,průměr,average
1277,vyhnout,avoid
1278,ocenění,award
1279,ohromný,awesome
1280,držet,balance
1281,zakázat,ban
1282,páska,band
1283,výhodná,bargain
1284,základ,basis
1285,fazol,bean
1286,začátek,beginning
1287,chování,behavior
1288,víra,belief
1289,přijet,arrive
1290,ohnout,bend
1291,užitek,benefit
1292,nejlepší,best
1293,lepší,better
1294,velký,big
1295,účet,bill
1296,blok,block
1297,dmýchat,blow
1298,deska,board
1299,pouto,bond
1300,knížka,book
1301,hranice,border
1302,šéf,boss
1303,spodek,bottom
1304,mísa,bowl
1305,mozek,brain
1306,značka,brand
1307,most,bridge
1308,krátký,brief
1309,přivést,bring
1310,široký,broad
1311,širokopásmové,broadband
1312,vysílání,broadcast
1313,podnikání,business
1314,schopný,capable
1315,kapitán,captain
1316,životní,career
1317,kreslený,cartoon
1318,hotovost,cash
1319,nenucený,casual
1320,katalog,catalogue
1321,chytit,catch
1322,příčina,cause
1323,století,century
1324,jistý,certain
1325,osvědčení,certificate
1326,občan,citizen
1327,občanský,civil
1328,tvrdit,claim
1329,třída,class
1330,klasický,classic
1331,utajovaný,classified
1332,čistý,clean
1333,jasný,clear
1334,cvaknout,click
1335,zákazník,client
1336,klinika,clinic
1337,látka,cloth
1338,klub,club
1339,trenér,coach
1340,mince,coin
1341,sbírat,collect
1342,sebraný,collected
1343,sbírka,collection
1344,společný,collective
1345,sběratel,collector
1346,pohodlí,comfort
1347,nadcházející,coming
1348,poručit,command
1349,spáchat,commit
1350,běžný,common
1351,kompaktní,compact
1352,společník,companion
1353,společnost,company
1354,srovnání,comparison
1355,soutěžit,compete
1356,konkureční,competitive
1357,mající,concerned
1358,koncert,concert
1359,závěr,conclusion
1360,stav,condition
1361,vést,conduct
1362,potvrdit,confirm
1363,střet,conflict
1364,spojit,connect
1365,vztah,connection
1366,ochrana,conservation
1367,konzervativní,conservative
1368,považovat,consider
1369,zvážení,consideration
1370,vzhledem,considering
1371,důsledný,consistent
1372,utěšit,console
1373,primář,consultant
1374,styk,contact
1375,obsahovat,contain
1376,současný,contemporary
1377,obsah,content
1378,pokračovat,continue
1379,nepřetržitý,continuous
1380,smlouva,contract
1381,přispět,contribute
1382,přeměna,conversion
1383,chladný,cool
1384,roh,corner
1385,cena,cost
1386,kostým,costume
1387,bavlna,cotton
1388,sčítání,count
1389,pár,couple
1390,soud,court
1391,zpravodajství,coverage
1392,plavidlo,craft
1393,srážka,crash
1394,zločin,crime
1395,trestný,criminal
1396,plodina,crop
1397,dav,crowd
1398,křižovat,cruise
1399,plakat,cry
1400,kuchyně,cuisine
1401,vyléčit,cure
1402,současný,current
1403,den,day
1404,mrtvý,dead
1405,dohoda,deal
1406,dluh,debt
1407,rozhodnout,decide
