74,first,první,/fɜːrst/
75,my,můj,/maɪ/
76,him,mu,/hɪm/
77,up,nahoru,/ʌp/
78,see,vidět,/siː/
79,made,vyrobeno,/meɪd/
80,should,by měl,/ʃʊd/
81,after,po,/æftɜːr/
82,shall,bude,/ʃæl/
83,your,vaše,/jɔːr/
84,most,většina,/məʊst/
85,could,mohl,/kʊd/
86,then,pak,/ðeɪn/
87,over,nad,/əʊvɜːr/
88,each,každý,/iːʧ/
89,year,rok,/jɪr/
90,work,práce,/wɜːrk/
91,states,státy,/steɪts/
92,where,kde,/weɪr/
93,use,použití,/juːs/
94,years,roky,/jɪrz/
95,me,mě,/miː/
96,between,mezi,/bɪtwiːn/
97,those,ty,/ðəʊz/
98,same,stejný,/seɪm/
99,now,teď,/naʊ/
100,many,mnoho,/meɪniː/
101,through,přes,/θruː/
102,upon,na,/əpɑːn/
103,must,mošt,/mʌst/
104,well,dobře,/weɪl/
105,very,velmi,/veɪriː/
106,general,generál,/ʤeɪnɜːrəl/
107,did,udělal,/dɪd/
108,before,před,/bɪfɔːr/
109,used,použitý,/juːzd/
110,because,protože,/bɪkɔːz/
111,being,bytost,/biːɪŋ/
112,part,část,/pɑːrt/
113,like,jako,/laɪk/
114,united,sjednocený,/juːnaɪtɪd/
115,people,lidé,/piːpəl/
116,during,během,/dʊrɪŋ/
117,public,veřejnost,/pʌblɪk/
118,section,sekce,/seɪkʃən/
119,how,jak,/haʊ/
120,number,číslo,/nʌmbɜːr/
121,act,akt,/ækt/
122,even,dokonce,/iːvɪn/
123,make,make,/meɪk/
124,court,soud,/kɔːrt/
125,case,věc,/keɪs/
126,system,systém,/sɪstəm/
127,much,mnoho,/mʌʧ/
128,three,tři,/θriː/
129,both,obě,/bəʊθ/
130,per,za,/pɜːr/
131,water,voda,/wɔːtɜːr/
132,law,zákon,/lɔː/
133,life,život,/laɪf/
134,day,den,/deɪ/
135,company,společnost,/kʌmpəniː/
136,service,servis,/sɜːrvəs/
137,good,dobrý,/gʊd/
138,way,cesta,/weɪ/
139,without,bez,/wɪθaʊt/
140,order,objednávka,/ɔːrdɜːr/
141,great,velký,/greɪt/
142,american,americký,/əmeɪrəkən/
143,while,zatímco,/waɪl/
144,man,muž,/mæn/
145,however,však,/haʊeɪvɜːr/
146,york,york,/jɔːrk/
147,long,dlouho,/lɔːŋ/
148,high,vysoký,/haɪ/
149,us,nás,/ʌs/
150,national,národní,/næʃənəl/
151,right,právo,/raɪt/
152,does,ano,/dʌz/
153,city,město,/sɪtiː/
154,government,vláda,/gʌvɜːrmənt/
155,information,informace,/ɪnfɜːrmeɪʃən/
156,just,jen,/ʤʌst/
157,within,v,/wɪðɪn/
158,school,škola,/skuːl/
159,against,proti,/əgeɪnst/
160,found,nalezen,/faʊnd/
161,power,moc,/paʊɜːr/
162,here,zde,/hiːr/
163,world,svět,/wɜːrld/
164,own,vlastní,/əʊn/
165,another,další,/ənʌðɜːr/
166,data,data,/deɪtə/
167,committee,výbor,/kəmɪtiː/
168,business,podnikání,/bɪznəs/
169,given,dané,/gɪvən/
170,know,vědět,/nəʊ/
171,program,naprogramovat,/prəʊgræm/
172,little,málo,/lɪtəl/
173,since,od,/sɪns/
174,present,současnost,/preɪzənt/
175,every,každý,/eɪvɜːriː/
176,house,dům,/haʊs/
177,men,muži,/meɪn/
178,report,zpráva,/riːpɔːrt/
179,university,univerzita,/juːnəvɜːrsətiː/
180,following,následující,/fɑːləʊɪŋ/
181,less,méně,/leɪs/
182,back,zadní,/bæk/
183,place,místo,/pleɪs/
184,total,celkový,/təʊtəl/
185,large,velký,/lɑːrʤ/
186,take,vzít,/teɪk/
187,department,oddělení,/dɪpɑːrtmənt/
188,down,dolů,/daʊn/
189,small,malý,/smɔːl/
190,county,hrabství,/kaʊntiː/
191,second,druhý,/seɪkənd/
192,development,rozvoj,/dɪveɪləpmənt/
193,control,řízení,/kəntrəʊl/
194,might,moc,/maɪt/
195,research,výzkum,/riːsɜːrʧ/
196,office,kancelář,/ɔːfɪs/
197,last,poslední,/læst/
198,point,bod,/pɔɪnt/
199,form,formulář,/fɔːrm/
200,board,rada,/bɔːrd/
