id,česky,english,pronunciation
379,zastupitelství,agency,/eɪʤənsiː/
380,duch,ghost,/gəʊst/
381,přistěhovalectví,immigration,/ɪməgreɪʃən/
382,mír,peace,/piːs/
383,široce,widely,/waɪdliː/
384,horko,heat,/hiːt/
385,proto,therefore,/ðeɪrfɔːr/
386,nepřítomný,absent,/æbsənt/
387,uhlí,coal,/kəʊl/
388,vážný,severe,/səvɪr/
389,neobvyklý,unusual,/ənjuːʒuːəl/
390,přijmout,accept,/əkseɪpt/
391,federace,federation,/fɛdɜːreɪʃən/
392,prérie,prairie,/preɪriː/
393,provincie,province,/prɑːvəns/
394,čistý,pure,/pjʊr/
395,nábytek,furniture,/fɜːrnɪʧɜːr/
396,obecně,generally,/ʤeɪnɜːrəliː/
397,jistě,surely,/ʃʊrliː/
398,závěrečný,closing,/kləʊzɪŋ/
399,nalezený,found,/faʊnd/
400,celostátní,nationwide,/neɪʃənwaɪd/
401,opera,opera,/ɑːprə/
402,dobrovolný,voluntary,/vɑːləntɛriː/
403,pomocí,by,/baɪ/
404,chřipka,flu,/fluː/
405,invalida,invalid,/ɪnvələd/
406,denně,daily,/deɪliː/
407,příjem,income,/ɪnkəm/
408,naplněný,packed,/pækt/
409,dostat,receive,/rəsiːv/
410,víno,wine,/waɪn/
411,předtím,previously,/priːviːəsliː/
412,druh,sort,/sɔːrt/
413,vyhrát,win,/wɪn/
414,půlnoc,midnight,/mɪdnaɪt/
415,hospodářský,economic,/ɛkənɑːmɪk/
416,vzdělání,education,/ɛʤəkeɪʃən/
417,zlvášť,particularly,/pɑːrtɪkjəlɜːrliː/
418,účet,account,/əkaʊnt/
419,jinde,elsewhere,/eɪlswɛr/
420,federální,federal,/feɪdɜːrəl/
421,ranč,ranch,/rænʧ/
422,zlato,gold,/gəʊld/
423,mrtvý,gone,/gɔːn/
424,dálnice,highway,/haɪweɪ/
425,železnice,railroad,/reɪlrəʊd/
426,stříbro,silver,/sɪlvɜːr/
427,divoký,wild,/waɪld/
428,báječný,wonderful,/wʌndɜːrfəl/
429,parlament,parliament,/pɑːrləmənt/
430,během,throughout,/θruːaʊt/
431,bývalý,former,/fɔːrmɜːr/
432,třídit,grade,/greɪd/
433,hýbat,move,/muːv/
434,tichý,pacific,/pəsɪfɪk/
435,vyžadovat,require,/riːkwaɪɜːr/
436,slohová/písemná práce,essay,/ɛseɪ/
437,politický,political,/pəlɪtəkəl/
438,železnice,railway,/reɪlweɪ/
439,vědecký,scientific,/saɪəntɪfɪk/
440,městský,urban,/ɜːrbən/
441,fantastický,fantastic,/fəntæstɪk/
442,odpočinek,recreation,/rɛkriːeɪʃən/
443,prostě,simply,/sɪmpliː/
444,dvakrát,twice,/twaɪs/
445,kdežto,whereas,/wɛræz/
446,stárnoucí,aging,/eɪʤɪŋ/
447,vyčerpávající,comprehensive,/kɑːmpriːheɪnsɪv/
448,právní,legal,/liːgəl/
449,býk,bull,/bʊl/
450,kůň,horse,/hɔːrs/
451,zneužít,abuse,/əbjuːs/
452,ubytování,accommodation,/əkɑːmədeɪʃən/
453,dosáhnout,achieve,/əʧiːv/
454,jednat,act,/ækt/
455,jednání,action,/ækʃən/
456,letitý,aged,/eɪʤd/
457,letecká společnost,airline,/eɪrlaɪn/
458,úžasný,amazing,/əmeɪzɪŋ/
459,neoznačný jménem,anonymous,/ənɑːnəməs/
460,lehká atletika,athletics,/əθleɪtɪks/
461,vhodný,appropriate,/əprəʊpriːət/
462,vedlejší věta,clause,/klɔːz/
463,nesprávný,false,/fɔːls/
464,odpovědět na,respond,/rɪspɑːnd/
465,pekař,baker,/beɪkɜːr/
466,ztracený,lost,/lɔːst/
467,muset,must,/mʌst/
468,brýle,glasses,/glæsəz/
469,díra,hole,/həʊl/
470,jazyk,tongue,/tʌŋ/
471,náhrdelník,necklace,/neɪkləs/
472,kromě,except,/ɪkseɪpt/
473,také ne,neither,/niːðɜːr/
474,horečka,fever,/fiːvɜːr/
475,dětství,childhood,/ʧaɪldhʊd/
476,zdravotní sestra,nurse,/nɜːrs/
477,divný,strange,/streɪnʤ/
478,kost,bone,/bəʊn/
479,pyšný,proud,/praʊd/
480,stvrzenka,receipt,/rɪsiːt/
481,okamžitě,instantly,/ɪnstəntliː/
482,hrdlo,throat,/θrəʊt/
483,nicméně,however,/haʊeɪvɜːr/
484,často,frequently,/friːkwəntliː/
485,měď,copper,/kɑːpɜːr/
486,místo (toho),instead,/ɪnsteɪd/
487,pobřeží,coast,/kəʊst/
488,síť,net,/neɪt/
489,sláva,fame,/feɪm/
490,dotknout se,touch,/tʌʧ/
491,usnadnit,facilitate,/fəsɪləteɪt/
492,v podstatě,virtually,/vɜːrʧuːəliː/
493,nicméně,nevertheless,/nɛvɜːrðəleɪs/
494,vyzrálý,ripe,/raɪp/
495,souhlas,consent,/kənseɪnt/
496,následný,subsequent,/sʌbsəkwənt/
497,komponovaný,composed,/kəmpəʊzd/
498,zachování,preservation,/prɛzɜːrveɪʃən/
499,náhradní,spare,/speɪr/
500,konaný ve spolupráci,collaborative,/kəlæbɜːreɪtɪv/
501,vyzrazení,disclosure,/dɪskləʊʒɜːr/
502,neřest,vice,/vaɪs/
503,fáze,phase,/feɪz/
504,kotva,anchor,/æŋkɜːr/
505,blog,blog,/blɔːg/
506,díky,thanks,/θæŋks/
507,e-mail,email,/iːmeɪl/
508,je,them,/ðeɪm/
509,jeho,his,/hɪz/
510,ahoj,hello,/hələʊ/
511,slunečný,sunny,/sʌniː/
512,internet,internet,/ɪntɜːrnɛt/
513,přesně,exactly,/ɪgzæktliː/
514,zuby,teeth,/tiːθ/
515,běhat,running,/rʌnɪŋ/
516,fotbal,soccer,/sɑːkɜːr/
517,golf,golf,/gɑːlf/
518,knihkupectví,bookstore,/bʊkstɔːr/
519,plachtění,sailing,/seɪlɪŋ/
520,plavání,swimming,/swɪmɪŋ/
521,poker,poker,/pəʊkɜːr/
522,tancování,dancing,/dænsɪŋ/
523,tenis,tennis,/teɪnəs/
524,dar,gift,/gɪft/
525,hrdina,hero,/hɪrəʊ/
526,kolo,bike,/baɪk/
527,sedět,sit,/sɪt/
528,dolar,dollar,/dɑːlɜːr/
529,loterie,lottery,/lɑːtɜːriː/
530,program,software,/sɔːftwɛr/
531,už ne,anymore,/ɛniːmɔːr/
532,všechno,everything,/eɪvriːθɪŋ/
533,prohrát,lose,/luːz/
534,hity,hits,/hɪts/
535,letectví,aviation,/eɪviːeɪʃən/
536,muž,man,/mæn/
537,nebezpečný,dangerous,/deɪnʤɜːrəs/
538,nemožný,impossible,/ɪmpɑːsəbəl/
539,opatrně,carefully,/keɪrfəliː/
540,pomalu,slowly,/sləʊliː/
541,průkopník,pioneer,/paɪənɪr/
542,vydat,publish,/pʌblɪʃ/
543,vzorek,sample,/sæmpəl/
544,balíček,packet,/pækət/
545,med,honey,/hʌniː/
546,promiňte,sorry,/sɑːriː/
547,šéfkuchař,chef,/ʃeɪf/
548,bezpečný,safe,/seɪf/
549,vysoký,tall,/tɔːl/
550,historický,historic,/hɪstɔːrɪk/
551,chrám,temple,/teɪmpəl/
552,chudoba,poverty,/pɑːvɜːrtiː/
553,klenoty,jewellery,N/A
554,palác,palace,/pæləs/
555,růžový,pink,/pɪŋk/
556,rybaření,fishing,/fɪʃɪŋ/
557,tradiční,traditional,/trədɪʃənəl/
558,totožný,identical,/aɪdeɪntɪkəl/
559,kyslík,oxygen,/ɑːksəʤən/
560,neuvěřitelný,incredible,/ɪnkreɪdəbəl/
561,ovlivnit,affect,/əfeɪkt/
562,přenosný počítač,laptop,/læptɑːp/
563,sval,muscle,/mʌsəl/
564,podcast,podcast,/pɔːdkæst/
565,pohostinnost,hospitality,/hɑːspətælətiː/
566,safari,safari,/səfɑːriː/
567,internetové stránky,website,/weɪbsaɪt/
568,balení,packing,/pækɪŋ/
569,sluneční svit / záře,sunshine,/sʌnʃaɪn/
570,paprsek,ray,/reɪ/
571,připojený k internetu,online,/ɔːnlaɪn/
572,stavitelský,architectural,/ɑːrkəteɪkʧɜːrəl/
573,záchod,toilet,/tɔɪlət/
574,zdravotní péče,healthcare,/heɪlθkɛr/
575,domácí zvíře,pet,/peɪt/
576,dovolit,allow,/əlaʊ/
577,jinak,otherwise,/ʌðɜːrwaɪz/
578,trochu,slightly,/slaɪtliː/
579,nemocný,sick,/sɪk/
580,snížený,reduced,/rəduːst/
581,úplně,totally,/təʊtəliː/
582,volno,leisure,/leɪʒɜːr/
583,čest,honor,/ɑːnɜːr/
584,lov,hunting,/hʌntɪŋ/
585,písek,sand,/sænd/
586,náboženský,religious,/rɪlɪʤəs/
587,cenný,valuable,/væljəbəl/
588,obsazený,engaged,/ɛngeɪʤd/
589,usilovat,struggle,/strʌgəl/
590,led,ice,/aɪs/
591,nebe,heaven,/heɪvən/
592,dálkový,remote,/rɪməʊt/
593,recepce,reception,/rɪseɪpʃən/
594,tvarovaný,shaped,/ʃeɪpt/
595,vysoká zvěř,deer,/dɪr/
596,opravdu,truly,/truːliː/
597,orchestr,orchestra,/ɔːrkəstrə/
598,pověst,reputation,/rɛpjəteɪʃən/
599,konečný,ultimate,/ʌltəmət/
600,Thajec,thai,/taɪ/
601,zamčený,locked,/lɑːkt/
602,zmrzlý,frozen,/frəʊzən/
603,pravý,genuine,/ʤeɪnjəwən/
604,hledat,seek,/siːk/
605,hurikán,hurricane,/hɜːrəkeɪn/
606,chlápek,guy,/gaɪ/
607,výcvik,training,/treɪnɪŋ/
608,zoufalý,desperate,/deɪsprɪt/
609,etnický,ethnic,/eɪθnɪk/
610,lít,pour,/pɔːr/
611,vízum,visa,/viːzə/
612,doopravdy,actually,/ækʧuːəliː/
613,hazardování,gambling,/gæmbəlɪŋ/
614,jasně,clearly,/klɪrliː/
615,sraz,reunion,/riːuːnjən/
616,spolehlivý,reliable,/rɪlaɪəbəl/
617,hudba k filmům,soundtrack,/saʊndtræk/
618,neustále,constantly,/kɑːnstəntliː/
619,memorabilia,memorabilia,/mɛmɜːrəbiːljə/
620,příběh,tale,/teɪl/
621,spodní prádlo,underwear,/ʌndɜːrwɛr/
622,dopravní prostředek,transportation,/trænspɜːrteɪʃən/
623,v současné době,currently,/kɜːrəntliː/
624,automobilový,automotive,/ɔːtəməʊtɪv/
625,ropa,petroleum,/pətrəʊliːəm/
626,telekominikace,telecommunications,/tɛləkəmjuːnəkeɪʃənz/
627,fitness,fitness,/fɪtnəs/
628,vybrat,select,/səleɪkt/
629,maloobchodník,retailer,/riːteɪlɜːr/
630,stále více,increasingly,/ɪnkriːsɪŋliː/
631,balení,packaging,/pækɪʤɪŋ/
632,marketing,marketing,/mɑːrkətɪŋ/
633,náročný,challenging,/ʧælənʤɪŋ/
634,oddělení nákupu,purchasing,/pɜːrʧəsɪŋ/
635,sklad,warehouse,/weɪrhaʊs/
636,pracoviště,workplace,/wɜːrkpleɪs/
637,dostupnost,availability,/əveɪləbɪlətiː/
638,místo konání,venue,/veɪnjuː/
639,financování,funding,/fʌndɪŋ/
640,vzorec,formula,/fɔːrmjələ/
641,volitelný,optional,/ɑːpʃənəl/
642,výstřižek,cutting,/kʌtɪŋ/
643,úpadek,bankruptcy,/bæŋkrəpsiː/
644,důvěrný,confidential,/kɑːnfədeɪnʃəl/
645,nezákonný,illegal,/ɪliːgəl/
646,zákonodárství,legislation,/lɛʤəsleɪʃən/
647,aktualizovat,update,/əpdeɪt/
648,vymazat,delete,/dɪliːt/
649,nedávný,recent,/riːsənt/
650,stejně,equally,/iːkwəliː/
651,myš,mouse,/maʊs/
652,nastavitelný,adjustable,/əʤʌstəbəl/
653,rozržení,layout,/leɪaʊt/
654,toner,toner,/təʊnɜːr/
655,určený,designated,/deɪzɪgneɪtɪd/
656,pasta,paste,/peɪst/
657,nepříznivý,adverse,/ədvɜːrs/
658,pravděpodobně,likely,/laɪkliː/
659,související,related,/rɪleɪtɪd/
660,vyšetřovat,investigate,/ɪnveɪstəgeɪt/
661,radit se,consult,/kənsʌlt/
662,podrobit se,submit,/səbmɪt/
663,správa,administration,/ədmɪnɪstreɪʃən/
664,ačkoli,though,/ðəʊ/
665,navíc,moreover,/mɔːrəʊvɜːr/
666,regulační,regulatory,/reɪgjələtɔːriː/
667,stranou,apart,/əpɑːrt/
668,rozsah,scale,/skeɪl/
669,měřit,gauge,/geɪʤ/
670,spolehlivost,reliability,/riːlaɪəbɪlətiː/
671,vypínač,switch,/swɪʧ/
672,oživit,boost,/buːst/
673,účinnost,effectiveness,/ɪfeɪktɪvnəs/
674,v centru,downtown,/daʊntaʊn/
675,rozpoznání,recognition,/rɛkəgnɪʃən/
676,zavedený,established,/ɪstæblɪʃt/
677,korporátní,corporate,/kɔːrpɜːrət/
678,oddaný,dedicated,/deɪdəkeɪtəd/
679,virtuální,virtual,/vɜːrʧuːəl/
680,byznys,biz,/bɪz/
681,je,is,/ɪz/
682,ty,you,/juː/
683,čtyři,four,/fɔːr/
684,pět,five,/faɪv/
685,šest,six,/sɪks/
686,osm,eight,/eɪt/
687,dvanáct,twelve,/tweɪlv/
688,můj,my,/maɪ/
689,my,we,/wiː/
690,to,it,/ɪt/
691,ona,she,/ʃiː/
692,pes,dog,/dɔːg/
693,tvůj,your,/jɔːr/
694,nos,nose,/nəʊz/
695,oko,eye,/aɪ/
696,opice,monkey,/mʌŋkiː/
697,nohy,feet,/fiːt/
698,jezero,lake,/leɪk/
699,dvacet,twenty,/tweɪntiː/
700,třicet,thirty,/θɜːrdiː/
701,směsice,mixture,/mɪksʧɜːr/
702,bláznivý,crazy,/kreɪziː/
703,hraní,playing,/pleɪɪŋ/
704,jedení,eating,/iːtɪŋ/
705,jízda,riding,/raɪdɪŋ/
