147,dlouho,long,/lɔŋ/
148,vysoký,high,/haɪ/
149,nás,us,/ʌs/
150,národní,national,/næʃʌnʌl/
151,právo,right,/ɹaɪt/
152,ano,does,/dʌz/
153,město,city,/sɪti/
154,vláda,government,/gʌvɝmʌnt/
155,informace,information,/ɪnfɝmeɪʃʌn/
156,jen,just,/dʒʌst/
157,v,within,/wɪðɪn/
158,škola,school,/skul/
159,proti,against,/ʌgɛnst/
160,nalezen,found,/faʊnd/
161,moc,power,/paʊɝ/
162,zde,here,/hiɹ/
163,svět,world,/wɝld/
164,vlastní,own,/oʊn/
165,další,another,/ʌnʌðɝ/
167,výbor,committee,/kʌmɪti/
168,podnikání,business,/bɪznʌs/
169,dané,given,/gɪvʌn/
170,vědět,know,/noʊ/
171,naprogramovat,program,/pɹoʊgɹæm/
172,málo,little,/lɪtʌl/
173,od,since,/sɪns/
174,současnost,present,/pɹɛzʌnt/
175,každý,every,/ɛvɝi/
176,dům,house,/haʊs/
177,muži,men,/mɛn/
178,zpráva,report,/ɹipɔɹt/
179,univerzita,university,/junʌvɝsʌti/
180,následující,following,/fɑloʊɪŋ/
181,méně,less,/lɛs/
182,zadní,back,/bæk/
183,místo,place,/pleɪs/
184,celkový,total,/toʊtʌl/
185,velký,large,/lɑɹdʒ/
186,vzít,take,/teɪk/
187,oddělení,department,/dɪpɑɹtmʌnt/
188,dolů,down,/daʊn/
189,malý,small,/smɔl/
190,hrabství,county,/kaʊnti/
191,druhý,second,/sɛkʌnd/
192,rozvoj,development,/dɪvɛlʌpmʌnt/
193,řízení,control,/kʌntɹoʊl/
194,moc,might,/maɪt/
195,výzkum,research,/ɹisɝtʃ/
196,kancelář,office,/ɔfɪs/
197,poslední,last,/læst/
198,bod,point,/pɔɪnt/
199,formulář,form,/fɔɹm/
200,rada,board,/bɔɹd/
